Time,presidential_results
2024-07-05,4.666666666666666
2024-07-06,5.333333333333333
2024-07-07,4.666666666666666
2024-07-08,5.333333333333333
2024-07-09,4.0
2024-07-10,5.333333333333333
2024-07-11,4.0
2024-07-12,7.333333333333333
2024-07-13,4.666666666666666
2024-07-14,9.333333333333332
2024-07-15,8.0
2024-07-16,8.666666666666666
2024-07-17,7.333333333333333
2024-07-18,9.333333333333332
2024-07-19,9.333333333333332
2024-07-20,6.0
2024-07-21,16.666666666666664
2024-07-22,17.333333333333332
2024-07-23,16.0
2024-07-24,11.333333333333332
2024-07-25,10.666666666666666
2024-07-26,10.0
2024-07-27,10.0
2024-07-28,8.666666666666666
2024-07-29,10.666666666666666
2024-07-30,8.666666666666666
2024-07-31,6.0
2024-08-01,6.0
2024-08-02,6.0
2024-08-03,4.666666666666666
2024-08-04,5.333333333333333
2024-08-05,6.0
2024-08-06,11.333333333333332
2024-08-07,14.666666666666666
2024-08-08,10.666666666666666
2024-08-09,8.0
2024-08-10,6.0
2024-08-11,6.666666666666666
2024-08-12,6.0
2024-08-13,6.666666666666666
2024-08-14,8.0
2024-08-15,6.0
2024-08-16,5.333333333333333
2024-08-17,7.333333333333333
2024-08-18,3.0
2024-08-19,3.6666666666666665
2024-08-20,3.333333333333333
2024-08-21,5.666666666666666
2024-08-22,4.333333333333333
2024-08-23,4.666666666666666
2024-08-24,4.0
2024-08-25,3.333333333333333
2024-08-26,4.0
2024-08-27,3.0
2024-08-28,3.333333333333333
2024-08-29,3.0
2024-08-30,3.0
2024-08-31,2.6666666666666665
2024-09-01,3.6666666666666665
2024-09-02,2.6666666666666665
2024-09-03,2.6666666666666665
2024-09-04,3.6666666666666665
2024-09-05,3.0
2024-09-06,3.333333333333333
2024-09-07,3.333333333333333
2024-09-08,3.0
2024-09-09,3.333333333333333
2024-09-10,3.333333333333333
2024-09-11,32.5
2024-09-12,9.666666666666666
2024-09-13,6.666666666666666
2024-09-14,4.0
2024-09-15,4.333333333333333
