Time,domination
2024-10-09,40.49415584415584
2024-10-10,54.19987012987013
2024-10-11,43.60909090909091
2024-10-12,51.70792207792208
2024-10-13,41.74012987012987
2024-10-14,49.83896103896104
2024-10-15,53.57688311688312
2024-10-16,52.33090909090909
2024-10-17,50.46194805194805
2024-10-18,47.97
2024-10-19,46.10103896103896
2024-10-20,49.21597402597403
2024-10-21,51.70792207792208
2024-10-22,49.83896103896104
2024-10-23,47.34701298701299
2024-10-24,40.49415584415584
2024-10-25,49.83896103896104
2024-10-26,49.83896103896104
2024-10-27,58.56077922077922
2024-10-28,49.83896103896104
2024-10-29,50.46194805194805
2024-10-30,52.33090909090909
2024-10-31,55.445844155844156
2024-11-01,49.21597402597403
2024-11-02,52.953896103896106
2024-11-03,52.953896103896106
2024-11-04,46.10103896103896
2024-11-05,43.60909090909091
2024-11-06,39.24818181818182
2024-11-07,61.675714285714285
2024-11-08,56.06883116883117
2024-11-09,55.445844155844156
2024-11-10,52.33090909090909
2024-11-11,57.314805194805196
2024-11-12,49.21597402597403
2024-11-13,49.21597402597403
2024-11-14,54.822857142857146
2024-11-15,38.6251948051948
2024-11-16,41.11714285714286
2024-11-17,62.298701298701296
2024-11-18,57.314805194805196
2024-11-19,45.47805194805195
2024-11-20,46.72402597402597
2024-11-21,49.21597402597403
2024-11-22,51.70792207792208
2024-11-23,54.19987012987013
2024-11-24,50.46194805194805
2024-11-25,52.953896103896106
2024-11-26,42.9861038961039
2024-11-27,43.60909090909091
2024-11-28,46.72402597402597
2024-11-29,48.59298701298701
2024-11-30,50.46194805194805
2024-12-01,56.06883116883117
2024-12-02,45.47805194805195
2024-12-03,47.34701298701299
2024-12-04,44.85506493506493
2024-12-05,44.23207792207792
2024-12-06,39.87116883116883
2024-12-07,52.33090909090909
2024-12-08,60.42974025974026
2024-12-09,50.46194805194805
2024-12-10,52.953896103896106
2024-12-11,44.23207792207792
2024-12-12,44.85506493506493
2024-12-13,44.85506493506493
2024-12-14,50.46194805194805
2024-12-15,53.57688311688312
2024-12-16,48.59298701298701
2024-12-17,48.59298701298701
2024-12-18,45.47805194805195
2024-12-19,49.83896103896104
2024-12-20,49.83896103896104
2024-12-21,49.21597402597403
2024-12-22,48.59298701298701
2024-12-23,45.47805194805195
2024-12-24,49.21597402597403
2024-12-25,44.23207792207792
2024-12-26,48.59298701298701
2024-12-27,54.822857142857146
2024-12-28,52.33090909090909
2024-12-29,51.70792207792208
2024-12-30,51.70792207792208
2024-12-31,44.85506493506493
2025-01-01,45.47805194805195
2025-01-02,41.74012987012987
2025-01-03,43.60909090909091
2025-01-04,42.9861038961039
2025-01-05,50.46194805194805
2025-01-06,43.60909090909091
2025-01-07,44.23207792207792
2025-01-08,42.9861038961039
2025-01-09,46.72402597402597
2025-01-10,42.36311688311688
2025-01-11,53.57688311688312
2025-01-12,56.06883116883117
2025-01-13,54.822857142857146
2025-01-14,50.46194805194805
2025-01-15,46.72402597402597
2025-01-16,46.72402597402597
2025-01-17,47.34701298701299
2025-01-18,49.83896103896104
2025-01-19,51.70792207792208
2025-01-20,49.21597402597403
2025-01-21,51.70792207792208
2025-01-22,52.33090909090909
2025-01-23,46.72402597402597
2025-01-24,52.953896103896106
2025-01-25,41.74012987012987
2025-01-26,48.59298701298701
2025-01-27,44.23207792207792
2025-01-28,47.34701298701299
2025-01-29,52.33090909090909
2025-01-30,45.47805194805195
2025-01-31,52.953896103896106
2025-02-01,46.10103896103896
2025-02-02,58.56077922077922
2025-02-03,47.97
2025-02-04,49.21597402597403
2025-02-05,44.85506493506493
2025-02-06,51.70792207792208
2025-02-07,56.69181818181818
2025-02-08,39.87116883116883
2025-02-09,53.57688311688312
2025-02-10,51.70792207792208
2025-02-11,51.70792207792208
2025-02-12,51.70792207792208
2025-02-13,47.34701298701299
2025-02-14,52.953896103896106
2025-02-15,46.10103896103896
2025-02-16,54.822857142857146
2025-02-17,49.83896103896104
2025-02-18,56.69181818181818
2025-02-19,49.21597402597403
2025-02-20,54.822857142857146
2025-02-21,55.445844155844156
2025-02-22,47.97
2025-02-23,49.83896103896104
2025-02-24,54.822857142857146
2025-02-25,50.46194805194805
2025-02-26,41.74012987012987
2025-02-27,49.83896103896104
2025-02-28,51.08493506493507
2025-03-01,57.93779220779221
2025-03-02,61.675714285714285
2025-03-03,56.69181818181818
2025-03-04,39.24818181818182
2025-03-05,53.57688311688312
2025-03-06,48.59298701298701
2025-03-07,50.46194805194805
2025-03-08,49.21597402597403
2025-03-09,48.59298701298701
2025-03-10,46.72402597402597
2025-03-11,48.59298701298701
2025-03-12,49.21597402597403
2025-03-13,45.47805194805195
2025-03-14,42.9861038961039
2025-03-15,49.21597402597403
2025-03-16,57.314805194805196
2025-03-17,44.85506493506493
2025-03-18,36.13324675324675
2025-03-19,43.60909090909091
2025-03-20,44.85506493506493
2025-03-21,49.21597402597403
2025-03-22,46.72402597402597
2025-03-23,50.46194805194805
2025-03-24,51.70792207792208
2025-03-25,52.33090909090909
2025-03-26,57.93779220779221
2025-03-27,47.97
2025-03-28,48.59298701298701
2025-03-29,53.57688311688312
2025-03-30,52.953896103896106
2025-03-31,49.21597402597403
2025-04-01,46.10103896103896
2025-04-02,50.46194805194805
2025-04-03,46.72402597402597
2025-04-04,57.93779220779221
2025-04-05,45.47805194805195
2025-04-06,50.46194805194805
2025-04-07,54.19987012987013
2025-04-08,52.953896103896106
