Time,wordle_unlimited
2024-04-22,9.282990814113166
2024-04-23,9.955671307889483
2024-04-24,9.955671307889483
2024-04-25,10.762887900421063
2024-04-26,9.41752691286843
2024-04-27,3.632474666392109
2024-04-28,3.0943302713710557
2024-04-29,9.013918616602641
2024-04-30,11.973712789218432
2024-05-01,10.6283518016658
2024-05-02,11.570104492952643
2024-05-03,11.03196009793159
2024-05-04,3.228866370126319
2024-05-05,3.632474666392109
2024-05-06,9.282990814113166
2024-05-07,9.148454715357904
2024-05-08,9.41752691286843
2024-05-09,9.686599110378957
2024-05-10,10.090207406644748
2024-05-11,3.767010765147372
2024-05-12,4.036082962657899
2024-05-13,9.82113520913422
2024-05-14,10.6283518016658
2024-05-15,11.03196009793159
2024-05-16,12.915465480505276
2024-05-17,12.64639328299475
2024-05-18,4.305155160168425
2024-05-19,4.574227357678952
2024-05-20,11.435568394197379
2024-05-21,12.24278498672896
2024-05-22,10.22474350540001
2024-05-23,11.03196009793159
2024-05-24,9.148454715357904
2024-05-25,4.305155160168425
2024-05-26,4.843299555189478
2024-05-27,4.170619061413162
2024-05-28,7.534021530294744
2024-05-29,8.20670202407106
2024-05-30,8.20670202407106
2024-05-31,7.264949332784218
2024-06-01,3.632474666392109
2024-06-02,3.767010765147372
2024-06-03,6.054124443986848
2024-06-04,6.7268049377631645
2024-06-05,6.054124443986848
2024-06-06,5.515980048965795
2024-06-07,5.381443950210532
2024-06-08,3.632474666392109
2024-06-09,3.767010765147372
2024-06-10,5.112371752700005
2024-06-11,5.112371752700005
2024-06-12,4.977835653944742
2024-06-13,4.708763456434215
2024-06-14,4.036082962657899
2024-06-15,3.228866370126319
2024-06-16,3.0943302713710557
2024-06-17,3.632474666392109
2024-06-18,3.767010765147372
2024-06-19,2.825258073860529
2024-06-20,3.632474666392109
2024-06-21,3.3634024688815822
2024-06-22,3.228866370126319
2024-06-23,2.9597941726157924
2024-06-24,2.9597941726157924
2024-06-25,2.9597941726157924
2024-06-26,3.0943302713710557
2024-06-27,3.228866370126319
2024-06-28,2.5561858763500025
2024-06-29,2.825258073860529
2024-06-30,3.228866370126319
2024-07-01,2.5561858763500025
2024-07-02,2.421649777594739
2024-07-03,2.825258073860529
2024-07-04,3.228866370126319
2024-07-05,2.825258073860529
2024-07-06,2.825258073860529
2024-07-07,3.0943302713710557
2024-07-08,2.825258073860529
2024-07-09,2.9597941726157924
2024-07-10,3.3634024688815822
2024-07-11,2.690721975105266
2024-07-12,3.228866370126319
2024-07-13,2.5561858763500025
2024-07-14,2.421649777594739
2024-07-15,2.421649777594739
2024-07-16,2.287113678839476
2024-07-17,2.5561858763500025
2024-07-18,2.421649777594739
2024-07-19,2.690721975105266
2024-07-20,2.690721975105266
2024-07-21,2.690721975105266
2024-07-22,2.421649777594739
2024-07-23,2.287113678839476
2024-07-24,2.690721975105266
2024-07-25,2.825258073860529
2024-07-26,2.287113678839476
2024-07-27,2.287113678839476
2024-07-28,2.1525775800842126
2024-07-29,2.287113678839476
2024-07-30,2.690721975105266
2024-07-31,2.690721975105266
2024-08-01,2.825258073860529
2024-08-02,2.690721975105266
2024-08-03,2.825258073860529
2024-08-04,2.5561858763500025
2024-08-05,2.690721975105266
2024-08-06,3.0943302713710557
2024-08-07,3.0943302713710557
2024-08-08,3.3634024688815822
2024-08-09,3.228866370126319
2024-08-10,2.421649777594739
2024-08-11,2.421649777594739
2024-08-12,3.3634024688815822
