Time,underworld
2022-09-15,28.173715705550546
2022-09-16,33.91151877331172
2022-09-17,35.99304557385801
2022-09-18,39.6092799924294
2022-09-19,32.29513835715942
2022-09-20,28.386311893961803
2022-09-21,33.77888997241881
2022-09-22,31.652562752031738
2022-09-23,34.93588334714878
2022-09-24,35.230091214424164
2022-09-25,36.089069864920944
2022-09-26,31.553060591730514
2022-09-27,30.1670173572524
2022-09-28,32.067250819088
2022-09-29,28.19689838374157
2022-09-30,35.21827005835712
2022-10-01,52.46571282249194
2022-10-02,35.80188356509412
2022-10-03,32.57945956389596
2022-10-04,30.000406246084626
2022-10-05,29.976604658774942
2022-10-06,35.68844621280968
2022-10-07,39.48081046846055
2022-10-08,39.44941262988182
2022-10-09,40.053789223420885
2022-10-10,36.84554489125828
2022-10-11,33.64236472660837
2022-10-12,34.24977982065504
2022-10-13,36.75742837653732
2022-10-14,36.72805620496367
2022-10-15,34.800476238559504
2022-10-16,42.359377495546504
2022-10-17,40.43027827888853
2022-10-18,31.560834067818167
2022-10-19,32.796933759464864
2022-10-20,34.6612116319603
2022-10-21,32.744266417332796
2022-10-22,37.75146086107704
2022-10-23,40.86449884400093
2022-10-24,32.66526540413471
2022-10-25,36.40496231765352
2022-10-26,37.629920840772286
2022-10-27,36.34621797450622
2022-10-28,51.970658649024195
2022-10-29,61.93896361214711
2022-10-30,44.3849173042199
2022-10-31,38.102629078981195
2022-11-01,34.9511034229608
2022-11-02,34.29912365480237
2022-11-03,35.51749876015462
2022-11-04,41.71470897118
2022-11-05,43.547082588345454
2022-11-06,41.64684912650985
2022-11-07,39.74965416518187
2022-11-08,36.61433384520212
2022-11-09,33.484077692735056
2022-11-10,35.935007572475115
2022-11-11,34.6675100422497
2022-11-12,40.20615706735015
2022-11-13,49.443987665867816
2022-11-14,40.140322889685066
2022-11-15,32.70296165300283
2022-11-16,38.22489692531136
2022-11-17,35.1133781926413
2022-11-18,36.315547961952916
2022-11-19,33.82562399236508
2022-11-20,42.400840070947666
2022-11-21,45.43588987417599
2022-11-22,33.74206522840556
2022-11-23,33.101226628775066
2022-11-24,31.848921601087735
2022-11-25,32.43456077482982
2022-11-26,39.133851395637755
2022-11-27,37.26856068963978
2022-11-28,32.96449410593221
2022-11-29,32.32720042356061
2022-11-30,32.909801096795064
2022-12-01,38.36286369093091
2022-12-02,31.02982430501027
2022-12-03,34.043604604685264
2022-12-04,41.911641489221005
