Time,rockauto
2023-08-24,86.87849439181399
2023-08-25,80.36260731242794
2023-08-26,89.05045675160933
2023-08-27,91.22241911140469
2023-08-28,87.96447557171166
2023-08-29,89.05045675160933
2023-08-30,81.44858849232561
2023-08-31,80.36260731242794
2023-09-01,82.53456967222328
2023-09-02,81.44858849232561
2023-09-03,81.44858849232561
2023-09-04,84.70653203201864
2023-09-05,86.87849439181399
2023-09-06,82.53456967222328
2023-09-07,82.53456967222328
2023-09-08,81.44858849232561
2023-09-09,84.70653203201864
2023-09-10,81.44858849232561
2023-09-11,82.53456967222328
2023-09-12,80.36260731242794
2023-09-13,79.27662613253027
2023-09-14,79.27662613253027
2023-09-15,79.27662613253027
2023-09-16,85.79251321191632
2023-09-17,82.53456967222328
2023-09-18,84.70653203201864
2023-09-19,82.53456967222328
2023-09-20,79.27662613253027
2023-09-21,81.44858849232561
2023-09-22,83.62055085212096
2023-09-23,83.62055085212096
2023-09-24,81.44858849232561
2023-09-25,85.79251321191632
2023-09-26,78.1906449526326
2023-09-27,79.27662613253027
2023-09-28,79.27662613253027
2023-09-29,79.27662613253027
2023-09-30,89.05045675160933
2023-10-01,73.84672023304189
2023-10-02,81.44858849232561
2023-10-03,84.70653203201864
2023-10-04,82.53456967222328
2023-10-05,81.44858849232561
2023-10-06,81.44858849232561
2023-10-07,78.1906449526326
2023-10-08,80.36260731242794
2023-10-09,80.36260731242794
2023-10-10,81.44858849232561
2023-10-11,79.27662613253027
2023-10-12,78.1906449526326
2023-10-13,77.10466377273491
2023-10-14,77.10466377273491
2023-10-15,73.84672023304189
2023-10-16,80.36260731242794
2023-10-17,78.1906449526326
2023-10-18,81.44858849232561
2023-10-19,82.53456967222328
2023-10-20,71.67475787324653
2023-10-21,83.62055085212096
2023-10-22,77.10466377273491
2023-10-23,78.1906449526326
2023-10-24,77.10466377273491
2023-10-25,81.44858849232561
2023-10-26,77.10466377273491
2023-10-27,73.84672023304189
2023-10-28,78.1906449526326
2023-10-29,69.50279551345119
2023-10-30,76.01868259283724
2023-10-31,73.84672023304189
2023-11-01,79.27662613253027
2023-11-02,80.36260731242794
2023-11-03,81.44858849232561
2023-11-04,85.79251321191632
2023-11-05,74.93270141293956
2023-11-06,84.70653203201864
2023-11-07,82.53456967222328
2023-11-08,78.1906449526326
2023-11-09,78.1906449526326
2023-11-10,79.27662613253027
2023-11-11,81.44858849232561
2023-11-12,76.01868259283724
2023-11-13,76.01868259283724
2023-11-14,77.10466377273491
2023-11-15,77.10466377273491
2023-11-16,76.01868259283724
2023-11-17,78.1906449526326
2023-11-18,80.36260731242794
2023-11-19,74.93270141293956
2023-11-20,74.93270141293956
2023-11-21,72.76073905314422
2023-11-22,71.67475787324653
2023-11-23,61.90092725416746
2023-11-24,76.01868259283724
2023-11-25,79.27662613253027
2023-11-26,70.58877669334886
2023-11-27,76.01868259283724
2023-11-28,74.93270141293956
2023-11-29,71.67475787324653
2023-11-30,73.84672023304189
2023-12-01,77.10466377273491
2023-12-02,77.10466377273491
2023-12-03,71.67475787324653
2023-12-04,71.67475787324653
2023-12-05,71.67475787324653
2023-12-06,66.24485197375816
2023-12-07,70.58877669334886
2023-12-08,74.93270141293956
2023-12-09,85.79251321191632
2023-12-10,80.36260731242794
2023-12-11,69.50279551345119
2023-12-12,76.01868259283724
2023-12-13,74.93270141293956
2023-12-14,69.50279551345119
2023-12-15,67.33083315365585
2023-12-16,73.84672023304189
2023-12-17,68.41681433355352
2023-12-18,64.07288961396281
2023-12-19,65.15887079386049
2023-12-20,66.24485197375816
2023-12-21,67.33083315365585
2023-12-22,69.7742908084256
2023-12-23,70.31728139837443
2023-12-24,55.710834528750716
2023-12-25,46.69719073560002
2023-12-26,69.3851475522956
2023-12-27,72.95983560279211
2023-12-28,76.14538039715863
2023-12-29,78.0096480893163
2023-12-30,76.68837098710748
2023-12-31,64.87832565572026
2024-01-01,59.82851316919607
2024-01-02,67.13173660400793
2024-01-03,75.75623714102863
2024-01-04,76.68837098710748
2024-01-05,72.95983560279211
2024-01-06,75.21324655107979
2024-01-07,71.24941524445327
2024-01-08,63.94619180964142
2024-01-09,62.08192411748374
2024-01-10,68.06387045008677
2024-01-11,67.52087986013794
2024-01-12,65.26746891185024
2024-01-13,70.70642465450445
2024-01-14,62.62491470743258
2024-01-15,61.1497902714049
2024-01-16,59.82851316919607
2024-01-17,60.760647015274905
2024-01-18,66.19960275792909
2024-01-19,59.43936991306607
2024-01-20,67.52087986013794
2024-01-21,64.59778051758002
2024-01-22,62.26292098080002
2024-01-23,64.59778051758002
2024-01-24,67.71092656662002
2024-01-25,64.59778051758002
2024-01-26,60.70634795628002
2024-01-27,60.70634795628002
