Time,minecraft
2023-07-15,76.69919270770201
2023-07-16,79.50526073359356
2023-07-17,68.28098863002741
2023-07-18,69.21634463865792
2023-07-19,66.41027661276638
2023-07-20,65.47492060413586
2023-07-21,64.53956459550535
2023-07-22,69.21634463865792
2023-07-23,75.7638366990715
2023-07-24,64.53956459550535
2023-07-25,63.60420858687484
2023-07-26,63.60420858687484
2023-07-27,60.798140560983306
2023-07-28,60.798140560983306
2023-07-29,69.21634463865792
2023-07-30,70.15170064728842
2023-07-31,63.60420858687484
2023-08-01,61.73349656961382
2023-08-02,57.992072535091765
2023-08-03,61.73349656961382
2023-08-04,61.73349656961382
2023-08-05,64.53956459550535
2023-08-06,71.08705665591894
2023-08-07,60.798140560983306
2023-08-08,59.86278455235279
2023-08-09,56.121360517830745
2023-08-10,57.05671652646126
2023-08-11,57.05671652646126
2023-08-12,58.92742854372228
2023-08-13,66.41027661276638
2023-08-14,54.25064850056972
2023-08-15,51.44458047467818
2023-08-16,50.50922446604767
2023-08-17,50.50922446604767
2023-08-18,48.63851244878664
2023-08-19,58.92742854372228
2023-08-20,63.60420858687484
2023-08-21,50.50922446604767
2023-08-22,46.76780043152562
2023-08-23,46.76780043152562
2023-08-24,43.96173240563408
2023-08-25,45.83244442289511
2023-08-26,51.44458047467818
2023-08-27,59.86278455235279
2023-08-28,42.09102038837306
2023-08-29,43.02637639700357
2023-08-30,40.22030837111203
2023-08-31,42.09102038837306
2023-09-01,42.09102038837306
2023-09-02,51.44458047467818
2023-09-03,55.18600450920023
2023-09-04,57.992072535091765
2023-09-05,40.22030837111203
2023-09-06,38.349596353851005
2023-09-07,36.478884336589985
2023-09-08,39.28495236248152
2023-09-09,51.44458047467818
2023-09-10,52.3799364833087
2023-09-11,39.28495236248152
2023-09-12,36.478884336589985
2023-09-13,36.478884336589985
2023-09-14,37.41424034522049
2023-09-15,38.349596353851005
2023-09-16,50.50922446604767
2023-09-17,54.25064850056972
2023-09-18,39.28495236248152
2023-09-19,38.349596353851005
2023-09-20,39.28495236248152
2023-09-21,40.22030837111203
2023-09-22,42.09102038837306
2023-09-23,52.3799364833087
2023-09-24,59.86278455235279
2023-09-25,45.83244442289511
2023-09-26,40.22030837111203
2023-09-27,39.28495236248152
2023-09-28,39.28495236248152
2023-09-29,41.15566437974255
2023-09-30,52.3799364833087
2023-10-01,57.05671652646126
2023-10-02,40.22030837111203
2023-10-03,42.09102038837306
2023-10-04,43.02637639700357
2023-10-05,45.83244442289511
2023-10-06,48.63851244878664
2023-10-07,57.992072535091765
2023-10-08,60.798140560983306
2023-10-09,52.3799364833087
2023-10-10,44.897088414264594
2023-10-11,44.897088414264594
2023-10-12,43.96173240563408
2023-10-13,51.44458047467818
2023-10-14,65.47492060413586
2023-10-15,84.18204077674612
2023-10-16,57.05671652646126
2023-10-17,48.63851244878664
2023-10-18,45.83244442289511
2023-10-19,45.83244442289511
2023-10-20,47.70315644015613
2023-10-21,60.798140560983306
2023-10-22,67.34563262139689
2023-10-23,47.70315644015613
2023-10-24,45.83244442289511
2023-10-25,48.63851244878664
2023-10-26,51.44458047467818
2023-10-27,46.76780043152562
2023-10-28,57.05671652646126
2023-10-29,63.60420858687484
2023-10-30,44.897088414264594
2023-10-31,40.22030837111203
2023-11-01,41.15566437974255
2023-11-02,43.02637639700357
2023-11-03,45.83244442289511
2023-11-04,56.121360517830745
2023-11-05,59.86278455235279
2023-11-06,43.02637639700357
2023-11-07,45.83244442289511
2023-11-08,42.09102038837306
2023-11-09,42.09102038837306
2023-11-10,49.573868457417156
2023-11-11,57.992072535091765
2023-11-12,61.73349656961382
2023-11-13,43.96173240563408
2023-11-14,42.09102038837306
2023-11-15,42.09102038837306
2023-11-16,43.02637639700357
2023-11-17,44.897088414264594
2023-11-18,55.18600450920023
2023-11-19,59.86278455235279
2023-11-20,48.63851244878664
2023-11-21,54.25064850056972
2023-11-22,53.3152924919392
2023-11-23,57.05671652646126
2023-11-24,57.05671652646126
2023-11-25,58.92742854372228
2023-11-26,64.53956459550535
2023-11-27,43.02637639700357
2023-11-28,43.02637639700357
2023-11-29,41.15566437974255
2023-11-30,43.02637639700357
2023-12-01,43.02637639700357
2023-12-02,56.121360517830745
2023-12-03,60.798140560983306
2023-12-04,43.02637639700357
2023-12-05,45.83244442289511
2023-12-06,44.897088414264594
2023-12-07,43.96173240563408
2023-12-08,45.83244442289511
2023-12-09,58.92742854372228
2023-12-10,61.73349656961382
2023-12-11,45.83244442289511
2023-12-12,44.897088414264594
2023-12-13,45.83244442289511
2023-12-14,44.897088414264594
2023-12-15,47.70315644015613
2023-12-16,57.992072535091765
2023-12-17,64.53956459550535
2023-12-18,52.3799364833087
2023-12-19,52.3799364833087
2023-12-20,54.25064850056972
2023-12-21,57.992072535091765
2023-12-22,59.85558777613828
2023-12-23,61.69773758779793
2023-12-24,61.69773758779793
2023-12-25,60.776662681968105
2023-12-26,63.5398873994576
2023-12-27,58.93451287030844
2023-12-28,59.85558777613828
2023-12-29,63.07220939514234
2023-12-30,61.69773758779793
2023-12-31,65.38203721111725
2024-01-01,61.69773758779793
2024-01-02,59.85558777613828
2024-01-03,62.61881249362776
2024-01-04,56.17128815281895
2024-01-05,56.17128815281895
2024-01-06,66.75650901846166
2024-01-07,67.2241870227769
2024-01-08,51.5659136236698
2024-01-09,50.644838717839974
2024-01-10,49.72376381201014
2024-01-11,48.80268890618031
2024-01-12,52.486988529499634
2024-01-13,67.6775839242915
2024-01-14,73.20403335927047
2024-01-15,69.06633683443658
2024-01-16,60.776662681968105
2024-01-17,57.092363058648786
2024-01-18,51.5659136236698
2024-01-19,57.092363058648786
2024-01-20,68.14526192860674
2024-01-21,68.00953522718609
2024-01-22,51.687246772661425
2024-01-23,46.246483954486536
2024-01-24,46.246483954486536
2024-01-25,45.33969015145739
2024-01-26,48.060071560544834
2024-01-27,64.3823600150695
2024-01-28,68.00953522718609
2024-01-29,46.246483954486536
2024-01-30,48.96686536357398
2024-01-31,46.246483954486536
2024-02-01,43.5261025453991
2024-02-02,45.33969015145739
2024-02-03,60.755184802952904
2024-02-04,69.82312283324438
2024-02-05,48.96686536357398
2024-02-06,47.15327775751569
2024-02-07,47.15327775751569
2024-02-08,45.33969015145739
2024-02-09,48.96686536357398
2024-02-10,62.568772409011196
2024-02-11,68.00953522718609
2024-02-12,44.432896348428244
2024-02-13,49.873659166603126
2024-02-14,46.246483954486536
2024-02-15,44.432896348428244
2024-02-16,52.59404057569057
2024-02-17,65.28915381809864
2024-02-18,74.35709184839013
2024-02-19,63.47556621204035
2024-02-20,48.96686536357398
2024-02-21,48.96686536357398
2024-02-22,46.246483954486536
2024-02-23,49.873659166603126
2024-02-24,65.28915381809864
2024-02-25,70.72991663627353
2024-02-26,51.687246772661425
2024-02-27,45.33969015145739
2024-02-28,45.33969015145739
2024-02-29,45.33969015145739
2024-03-01,50.78045296963228
2024-03-02,64.3823600150695
2024-03-03,71.63671043930268
2024-03-04,49.873659166603126
2024-03-05,45.33969015145739
2024-03-06,51.687246772661425
2024-03-07,48.96686536357398
2024-03-08,52.59404057569057
2024-03-09,68.91632903021524
2024-03-10,68.91632903021524
2024-03-11,52.59404057569057
2024-03-12,49.873659166603126
2024-03-13,51.687246772661425
2024-03-14,52.59404057569057
2024-03-15,54.40762818174887
2024-03-16,67.10274142415693
2024-03-17,72.54350424233182
2024-03-18,50.78045296963228
2024-03-19,48.96686536357398
2024-03-20,48.060071560544834
2024-03-21,46.246483954486536
2024-03-22,50.78045296963228
2024-03-23,65.28915381809864
2024-03-24,71.63671043930268
2024-03-25,52.59404057569057
2024-03-26,50.78045296963228
2024-03-27,52.59404057569057
2024-03-28,50.78045296963228
2024-03-29,58.03480339386546
2024-03-30,66.19594762112779
2024-03-31,66.19594762112779
2024-04-01,63.47556621204035
2024-04-02,52.59404057569057
2024-04-03,50.78045296963228
2024-04-04,49.873659166603126
2024-04-05,52.59404057569057
2024-04-06,61.66197860598205
2024-04-07,67.10274142415693
2024-04-08,45.33969015145739
2024-04-09,46.246483954486536
2024-04-10,47.15327775751569
2024-04-11,46.246483954486536
2024-04-12,50.78045296963228
2024-04-13,59.84839099992376
2024-04-14,67.10274142415693
2024-04-15,47.15327775751569
2024-04-16,44.432896348428244
2024-04-17,44.432896348428244
2024-04-18,44.432896348428244
2024-04-19,47.15327775751569
2024-04-20,58.03480339386546
2024-04-21,63.47556621204035
2024-04-22,47.15327775751569
2024-04-23,48.96686536357398
2024-04-24,48.060071560544834
2024-04-25,48.060071560544834
2024-04-26,49.873659166603126
2024-04-27,65.28915381809864
2024-04-28,68.91632903021524
2024-04-29,49.873659166603126
2024-04-30,46.246483954486536
2024-05-01,42.619308742369945
2024-05-02,46.246483954486536
2024-05-03,48.060071560544834
2024-05-04,58.941597196894605
2024-05-05,68.91632903021524
2024-05-06,48.060071560544834
2024-05-07,47.15327775751569
2024-05-08,49.873659166603126
2024-05-09,48.96686536357398
2024-05-10,48.96686536357398
2024-05-11,59.84839099992376
2024-05-12,64.3823600150695
2024-05-13,53.50083437871972
2024-05-14,52.59404057569057
2024-05-15,55.314421984778015
2024-05-16,59.84839099992376
2024-05-17,65.28915381809864
2024-05-18,80.70464846959416
2024-05-19,85.23861748473989
2024-05-20,68.91632903021524
2024-05-21,61.66197860598205
2024-05-22,62.568772409011196
2024-05-23,59.84839099992376
2024-05-24,64.3823600150695
2024-05-25,68.00953522718609
2024-05-26,77.98426706050671
2024-05-27,82.51823607565245
2024-05-28,65.28915381809864
2024-05-29,64.3823600150695
2024-05-30,65.28915381809864
2024-05-31,68.91632903021524
2024-06-01,79.797854666565
2024-06-02,79.797854666565
2024-06-03,66.19594762112779
2024-06-04,65.28915381809864
2024-06-05,68.91632903021524
2024-06-06,68.00953522718609
2024-06-07,68.00953522718609
2024-06-08,75.26388565141927
2024-06-09,90.67938030291478
2024-06-10,70.72991663627353
2024-06-11,71.63671043930268
2024-06-12,72.54350424233182
2024-06-13,79.797854666565
2024-06-14,81.61144227262331
2024-06-15,88.86579269685649
2024-06-16,89.77258649988563
2024-06-17,84.33182368171074
2024-06-18,82.51823607565245
2024-06-19,86.14541128776904
2024-06-20,77.98426706050671
2024-06-21,83.4250298786816
2024-06-22,90.67938030291478
2024-06-23,88.86579269685649
2024-06-24,81.61144227262331
2024-06-25,77.07747325747756
2024-06-26,77.07747325747756
2024-06-27,77.98426706050671
2024-06-28,74.35709184839013
2024-06-29,85.23861748473989
2024-06-30,88.86579269685649
2024-07-01,82.51823607565245
2024-07-02,82.51823607565245
2024-07-03,83.4250298786816
2024-07-04,84.33182368171074
2024-07-05,73.45029804536097
2024-07-06,87.95899889382734
2024-07-07,87.95899889382734
2024-07-08,83.4250298786816
2024-07-09,77.98426706050671
2024-07-10,81.61144227262331
2024-07-11,77.07747325747756
