,Count,Mean,Std,Min,25%,50%,75%,Max
gamble,1612.0,42.4863523573201,10.459566762684261,14.772413793103448,37.447338424257886,40.66904802892064,44.74545454545454,180.4878048780488
generosity,1612.0,56.440446650124066,16.728284565209425,0.0,44.72400007715826,55.42587037037037,65.94033081739803,131.21965317919074
ghetto,1612.0,72.29590570719603,9.554644682740202,47.61181434599156,65.58558558558558,70.9313969571231,77.56232310339087,156.25
gift,1612.0,30.747518610421835,15.6416617571442,18.543046357615893,22.73825503355705,25.02263513513514,30.02477375565611,113.16666666666666
gold,1612.0,41.890198511166254,12.761329590522097,26.253308128544425,34.21551724137931,37.47058823529412,44.11688311688312,115.66523605150212
guide,1612.0,61.333126550868485,9.574583478738507,39.28183716075157,55.593351156360434,59.11111111111112,63.35212227763625,109.73597359735972
hole,1612.0,65.95719602977667,9.340293755180445,38.393351800554015,58.9983552631579,64.47606759301675,70.99655963302752,120.6896551724138
hustle,1612.0,10.376550868486353,9.861035035441942,0.989399293286219,7.767741935483872,8.75,10.5,192.8374655647383
hustler,1612.0,59.08064516129032,14.380128374790615,29.372990353697745,47.47041341524157,57.75194013303769,68.56584113404831,130.8411214953271
inexpensive,1612.0,53.09119106699752,11.098328308208119,25.598326359832637,46.0,50.21761307213144,56.794922468835516,130.29702970297032
inflation,1612.0,36.933002481389586,13.461695203427652,14.18181818181818,27.925851226019564,34.79324894514768,42.857258202506735,192.30769230769232
inherit,1612.0,60.41439205955335,15.33616109772777,21.686915887850468,49.26798427604281,59.207313519813525,69.81197038255861,166.82242990654206
intervention,1612.0,49.37965260545906,16.54599718043286,9.665697674418604,37.417182774017,48.31473727422003,58.921439996291056,119.96233521657248
invaluable,1612.0,70.36600496277916,20.419506575741476,19.027624309392262,54.641724750312356,69.41356972383225,84.60521368305209,130.50374064837905
jobless,1612.0,27.78411910669975,15.587061560542354,8.4,18.614056603773584,23.943993993994,32.16154233870968,357.1428571428572
laid,1612.0,50.29156327543424,11.027028559234118,24.053995680345576,42.68405197907847,47.893069778518694,55.25092564023449,118.09725158562368
lay,1612.0,78.81017369727047,8.692829077553917,53.297587131367294,72.77861627037049,77.83050847457626,83.86666666666666,120.73921971252568
legal,1612.0,52.82754342431762,11.76345005524701,28.285714285714285,45.428962790032884,50.08231048491658,56.34013188485438,119.73684210526316
liquidate,1612.0,54.3455334987593,27.16018455990447,0.0,42.46984806179062,56.49183359013868,71.19513719421464,236.3529411764706
liquidation,1612.0,54.60732009925558,13.006698441244833,20.84162895927601,46.14420096967393,51.218356127648164,59.03027027027028,145.53014553014555
lucrative,1612.0,77.6575682382134,16.208526278302934,29.426751592356684,66.42736950822277,77.36704658505991,88.83306078919303,145.39614561027838
luxury,1612.0,38.55769230769231,12.68873708580455,24.083916083916083,30.875824500948504,34.49736495388669,41.019267595470694,112.751677852349
meritorious,1612.0,66.97518610421837,40.50527188204939,0.0,50.29620374525723,72.1608231707317,91.73095655562048,282.3333333333333
miser,1612.0,14.181761786600497,15.155226094532843,2.8405797101449277,7.777777777777778,9.491525423728811,12.6,257.89473684210526
negotiate,1612.0,68.07940446650124,16.71721783602068,17.130081300813007,56.29615384615384,69.42165421026407,79.11514705398558,119.8443579766537
nobility,1612.0,28.628411910669975,11.765879540932199,3.1390134529147984,21.222297297297295,26.84289617486339,33.902929759857564,140.93959731543623
nobleman,1612.0,36.75186104218362,29.614543003296554,0.0,0.0,38.29290926395939,52.315964172813494,204.8780487804878
owe,1612.0,34.1817617866005,14.160133742265314,8.023255813953488,23.520000000000003,29.70214338507021,42.41242588932806,105.1912568306011
partner,1612.0,56.403225806451616,14.194592714787237,36.08247422680412,47.441143757806465,51.91387559808613,58.70287345339895,111.03448275862068
partnership,1612.0,36.4863523573201,18.961769578891932,6.872727272727273,22.70731707317073,34.243718592964825,41.349994991485524,119.2384769539078
patron,1612.0,53.675558312655085,10.30991400719208,28.08510638297872,47.60303687635575,52.30198653457236,58.67175572519084,256.4102564102564
patronage,1612.0,22.081265508684865,13.844988285317887,0.0,13.195466181161105,20.565434565434565,29.454131424853614,158.63309352517985
pollution,1612.0,47.88771712158809,25.88726307215807,4.935251798561151,25.71969696969697,42.38589348591549,66.66511513963744,149.41520467836258
poor,1612.0,21.729528535980148,9.19134317239074,8.282051282051281,17.056768558951962,19.977873276864308,23.85185185185185,197.9310344827586
poverty,1612.0,40.24627791563275,15.377302414694629,10.525179856115107,27.850518433179722,38.979933110367895,50.06687758742554,122.91666666666669
precious,1612.0,55.05272952853598,10.244332488649826,38.92719486081371,48.08757021460463,52.468179188362676,58.667998666498484,108.1419624217119
priceless,1612.0,60.088089330024815,11.119947888047436,34.17983651226158,52.767507185785206,59.038585209003216,65.92546608969951,132.8813559322034
privileged,1612.0,50.05210918114144,18.736662736056676,0.0,36.83192956806407,48.46382007822686,59.49562049576305,120.7843137254902
productive,1612.0,66.89826302729529,17.76206209704462,23.55769230769231,53.044205545409255,65.88477021133846,81.08520105471325,126.59574468085108
productivity,1612.0,23.089330024813897,16.844286143761597,4.625874125874126,13.173397717295872,18.87080170606521,23.28903134448314,126.65044247787613
profit,1612.0,52.3014888337469,14.592113193250661,17.40331491712707,41.43164194557132,51.27168094218416,60.419649856284295,112.987012987013
profitable,1612.0,59.10918114143921,11.884660729052536,35.01808785529716,50.905337569687234,56.50791826842721,64.72854640980736,145.9016393442623
prosper,1612.0,71.14205955334988,9.593407862439662,37.400000000000006,64.63137368514887,70.4312114989733,77.10046629690925,125.17647058823528
prosperity,1612.0,55.952233250620345,13.250291163453038,23.396610169491524,46.50635593220339,57.12788079470199,63.64611903043426,197.01986754966887
prosperous,1612.0,24.95409429280397,14.363397590328132,0.0,15.792338709677418,23.168025078369904,30.8,258.7677725118483
race,1612.0,18.439205955334987,9.044426900613194,2.910891089108911,14.053202989456826,15.906001765225067,20.143459915611817,140.0
radical,1612.0,56.6439205955335,19.7789586464368,15.083591331269348,39.33753930500686,55.915609249550435,71.41401608140322,122.80701754385966
recession,1612.0,13.353598014888338,13.079009655108012,0.9655172413793104,7.179982088989442,9.491525423728811,14.321021904853806,126.38888888888889
recompense,1612.0,66.80645161290323,28.063405584520783,0.0,52.018957345971565,67.26261869065468,83.17180306441071,198.1735159817352
redemption,1612.0,59.43362282878412,11.949494551845213,32.73381294964029,50.513607584446575,56.69609018949387,65.8845573598743,108.38709677419357
reparation,1612.0,29.57816377171216,13.045791580021938,0.0,22.29066371681416,28.75596430522674,35.75937072503421,240.625
reward,1612.0,54.80769230769231,15.116583081373818,29.232954545454547,45.0,49.034250013945446,58.02715521734598,125.22361359570662
rich,1612.0,20.741315136476427,7.023026492881736,1.8169398907103824,18.47222222222222,19.575225207908865,21.51219512195122,100.51282051282053
riches,1612.0,31.344913151364764,10.621502177687331,13.6,26.06896551724138,29.777575757575757,34.27531338793247,165.95744680851064
richness,1612.0,47.74441687344913,33.75454508243982,0.0,25.21390728476821,45.910819672131154,71.32708333333333,177.23076923076923
ruin,1612.0,29.609181141439205,8.735280131525025,10.96518987341772,25.33736508480384,28.497474747474747,32.256,136.36363636363637
savings,1612.0,25.176799007444167,19.319266973482968,8.06060606060606,17.491336633663362,20.726534753932015,25.891544117647058,303.030303030303
