date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2025-05-02,1746158400,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-05-03,1746244800,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-05-04,1746331200,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-05-05,1746417600,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-05-06,1746504000,FED-25SEP-T3.50,,,,,,0.72,0.81,0.765,0.0,6959.0
2025-05-07,1746590400,FED-25SEP-T3.50,0.81,0.81,0.81,0.81,0.81,0.72,0.8,0.76,30.0,6989.0
2025-05-08,1746676800,FED-25SEP-T3.50,,,,,,0.74,0.82,0.78,0.0,6989.0
2025-05-09,1746763200,FED-25SEP-T3.50,,,,,,0.73,0.82,0.7749999999999999,0.0,6989.0
2025-05-10,1746849600,FED-25SEP-T3.50,,,,,,0.73,0.82,0.7749999999999999,0.0,6989.0
2025-05-11,1746936000,FED-25SEP-T3.50,,,,,,0.73,0.82,0.7749999999999999,0.0,6989.0
2025-05-12,1747022400,FED-25SEP-T3.50,,,,,,0.75,0.8,0.775,0.0,6989.0
2025-05-13,1747108800,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,6989.0
2025-05-14,1747195200,FED-25SEP-T3.50,0.86,0.86,0.86,0.86,0.86,0.81,0.85,0.8300000000000001,57.0,7046.0
2025-05-15,1747281600,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,7046.0
2025-05-16,1747368000,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,7046.0
2025-05-17,1747454400,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,7046.0
2025-05-18,1747540800,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,7046.0
2025-05-19,1747627200,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,7046.0
2025-05-20,1747713600,FED-25SEP-T3.50,0.9,0.9,0.9,0.9,0.9,0.85,0.89,0.87,219.0,7265.0
